################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.4202249187454705E-01 a       116     0     5     1    20
 -1.7447240424032682E+00 a       117     0     5     1    21
  8.1773693891750039E+00 a       118     0     5     1    22
  3.5449709919122614E+00 a       119     0     5     1    23
 -1.2811092571374809E+01 a       120     0     5     1    24
 -6.3861842005597662E+00 a       121     0     6     1     1
 -6.7003205866172681E+00 a       122     0     6     1     2
 -1.6829969563548911E+01 a       123     0     6     1     3
  4.3141988255104975E+00 a       124     0     6     1     4
 -3.9110371310224030E+00 a       125     0     6     1     5
 -6.5698261028860143E+00 a       126     0     6     1     6
 -1.0402101620290041E+00 a       127     0     6     1     7
 -2.7400778232183596E+00 a       128     0     6     1     8
  8.9337538303426935E+00 a       129     0     6     1     9
  6.9546588125062145E+00 a       130     0     6     1    10
 -1.6808152729656374E+00 a       131     0     6     1    11
 -1.1057476091391574E+00 a       132     0     6     1    12
  4.1207971970762172E+00 a       133     0     6     1    13
 -7.1601256902655193E+00 a       134     0     6     1    14
 -1.4614198067122588E+01 a       135     0     6     1    15
  7.5250797148575117E+00 a       136     0     6     1    16
  9.1529108392502252E+00 a       137     0     6     1    17
  1.7018604887651914E+01 a       138     0     6     1    18
  1.0432640867930085E+00 a       139     0     6     1    19
  6.6254141126602595E-01 a       140     0     6     1    20
  3.0450797248686540E-01 a       141     0     6     1    21
 -8.0219507502499496E+00 a       142     0     6     1    22
 -1.2370582201797549E+00 a       143     0     6     1    23
 -9.4256873725095680E+00 a       144     0     6     1    24
  9.5905484943480932E+00 a       145     0     7     1     1
 -1.2042812855971752E+00 a       146     0     7     1     2
 -2.3848359251438778E+00 a       147     0     7     1     3
  2.8961239040049103E+00 a       148     0     7     1     4
  1.0503151602197528E+01 a       149     0     7     1     5
  1.1331980057397113E+01 a       150     0     7     1     6
  1.1558226412537151E+01 a       151     0     7     1     7
  1.4327468342381236E+01 a       152     0     7     1     8
  6.9898271623934871E+00 a       153     0     7     1     9
  1.5479970854526879E+01 a       154     0     7     1    10
 -8.9779117613244743E+00 a       155     0     7     1    11
  1.0589734811718088E+01 a       156     0     7     1    12
 -4.4438773718318219E+00 a       157     0     7     1    13
  1.5045668421297286E+01 a       158     0     7     1    14
  9.4457721898371929E+00 a       159     0     7     1    15
  2.9648837035388786E+00 a       160     0     7     1    16
  3.0540666671297516E+00 a       161     0     7     1    17
  1.0899914622494828E+01 a       162     0     7     1    18
 -2.9516195601086879E+00 a       163     0     7     1    19
  6.6726703329678863E+00 a       164     0     7     1    20
 -9.1805787862309851E-01 a       165     0     7     1    21
 -7.4661015785019771E+00 a       166     0     7     1    22
 -9.8089280361337927E+00 a       167     0     7     1    23
  8.8616558640559848E+00 a       168     0     7     1    24
  1.3670516527458942E+01 a       169     0     8     1     1
  9.4422225741175918E+00 a       170     0     8     1     2
  8.7168079830437328E+00 a       171     0     8     1     3
 -1.1609852713672350E+01 a       172     0     8     1     4
  7.4286982524150202E+00 a       173     0     8     1     5
  8.7693306761096732E+00 a       174     0     8     1     6
  2.5619656035171285E+00 a       175     0     8     1     7
  1.6617088253709557E+01 a       176     0     8     1     8
 -1.2930491639693352E+01 a       177     0     8     1     9
  1.6979265635375014E+00 a       178     0     8     1    10
  3.6963655008847968E-01 a       179     0     8     1    11
  1.9171214692203375E+01 a       180     0     8     1    12
 -1.6828476862903511E+01 a       181     0     8     1    13
  1.0418010975785630E+00 a       182     0     8     1    14
  1.9390569507223535E+01 a       183     0     8     1    15
 -1.2190655741110174E+01 a       184     0     8     1    16
 -8.5077284113092322E+00 a       185     0     8     1    17
 -3.8909455327146185E+00 a       186     0     8     1    18
 -2.8675930276385349E+00 a       187     0     8     1    19
  8.5824388046653812E+00 a       188     0     8     1    20
  1.3078559901758739E+01 a       189     0     8     1    21
 -1.0534378530450725E+01 a       190     0     8     1    22
 -9.3189408095814521E+00 a       191     0     8     1    23
  8.5343498530516797E+00 a       192     0     8     1    24
 -1.4858485013327123E+00 a       193     0     9     1     1
  1.1711863525921724E+00 a       194     0     9     1     2
 -2.9584374852940920E-01 a       195     0     9     1     3
 -6.9358691534275083E+00 a       196     0     9     1     4
 -1.7461604320521624E+00 a       197     0     9     1     5
  1.1981772809011744E+00 a       198     0     9     1     6
 -6.1788298479027066E+00 a       199     0     9     1     7
 -9.1760772178960721E+00 a       200     0     9     1     8
 -1.0528300991003057E+00 a       201     0     9     1     9
 -1.0779016980807038E+01 a       202     0     9     1    10
  4.1534795602809025E+00 a       203     0     9     1    11
 -9.0442447575298583E+00 a       204     0     9     1    12
  1.5159232247445459E+01 a       205     0     9     1    13
 -1.3553932517747343E+01 a       206     0     9     1    14
 -9.9559347610205347E+00 a       207     0     9     1    15
 -6.4122727913551181E+00 a       208     0     9     1    16
 -4.1159388437062816E+00 a       209     0     9     1    17
 -1.2377219424694083E+01 a       210     0     9     1    18
  6.0863738012937940E+00 a       211     0     9     1    19
 -2.7955863798347016E+00 a       212     0     9     1    20
 -1.7720912801874866E+00 a       213     0     9     1    21
  3.4108265775197748E+00 a       214     0     9     1    22
  1.7362265888051461E+01 a       215     0     9     1    23
  3.6172086366641367E+00 a       216     0     9     1    24
 -4.3828922277283651E+00 a       217     0    10     1     1
 -2.8157253624984047E+00 a       218     0    10     1     2
  4.3040811634159324E+00 a       219     0    10     1     3
  7.2359542663048506E+00 a       220     0    10     1     4
 -4.7349246401774794E+00 a       221     0    10     1     5
 -1.4640009279239818E+01 a       222     0    10     1     6
 -6.0027723347559832E+00 a       223     0    10     1     7
 -1.3010746589244345E+01 a       224     0    10     1     8
  6.4458296089583538E+00 a       225     0    10     1     9
 -8.6524491174018117E+00 a       226     0    10     1    10
