################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.7321789515247499E+00 a       223     0    10     1     7
 -2.8691612878947481E+00 a       224     0    10     1     8
 -3.4406295520603396E+00 a       225     0    10     1     9
 -3.5237144777627241E+00 a       226     0    10     1    10
  8.5197858094691661E+00 a       227     0    10     1    11
 -1.8743363257198544E+00 a       228     0    10     1    12
  2.4564705283950481E+00 a       229     0    10     1    13
 -7.4469462038411773E+00 a       230     0    10     1    14
  4.1941575719950972E+00 a       231     0    10     1    15
  6.5787017988504495E+00 a       232     0    10     1    16
 -1.3629850265681423E+01 a       233     0    10     1    17
 -1.0110130738599899E+01 a       234     0    10     1    18
  7.8557761191769195E+00 a       235     0    10     1    19
  4.2306011375091197E+00 a       236     0    10     1    20
 -1.1720349394318502E+01 a       237     0    10     1    21
 -1.0910617298217611E+01 a       238     0    10     1    22
  3.5933437941043256E-01 a       239     0    10     1    23
  5.8037719891335167E+00 a       240     0    10     1    24
 -1.1033102585020661E-01 a       241     0    11     1     1
  1.4356592763097769E+00 a       242     0    11     1     2
  2.9614891457048365E+00 a       243     0    11     1     3
  1.4771213108966021E+00 a       244     0    11     1     4
  9.7906581075200450E-02 a       245     0    11     1     5
  3.4314171283018915E+00 a       246     0    11     1     6
  5.0846671859873982E-01 a       247     0    11     1     7
 -2.8349893991289150E+00 a       248     0    11     1     8
 -1.0390484726234694E+00 a       249     0    11     1     9
 -1.4912105348525335E+00 a       250     0    11     1    10
  6.4780025290221499E-01 a       251     0    11     1    11
 -4.9429118866927571E+00 a       252     0    11     1    12
 -2.1658119852830668E+00 a       253     0    11     1    13
 -3.5756169533308317E+00 a       254     0    11     1    14
  8.1543869956164841E+00 a       255     0    11     1    15
 -3.8121458059580227E-01 a       256     0    11     1    16
 -2.7134014868943774E+00 a       257     0    11     1    17
  6.2743584114952178E+00 a       258     0    11     1    18
  3.2055872142032520E+00 a       259     0    11     1    19
  3.4346931902437761E+00 a       260     0    11     1    20
  6.5915039883850479E+00 a       261     0    11     1    21
  1.7697343102933747E+00 a       262     0    11     1    22
  4.3733699407055040E+00 a       263     0    11     1    23
  1.8363092569350929E+00 a       264     0    11     1    24
  6.1586825832377485E+00 a       265     0    12     1     1
  2.3250573536832098E-01 a       266     0    12     1     2
 -9.8863677817995477E+00 a       267     0    12     1     3
  2.7975786989812708E+00 a       268     0    12     1     4
  3.7878886554384783E+00 a       269     0    12     1     5
 -1.3543049786635060E+00 a       270     0    12     1     6
  3.8175142503669708E+00 a       271     0    12     1     7
 -2.0379712120276787E+00 a       272     0    12     1     8
  1.6802290950604428E+00 a       273     0    12     1     9
 -3.1647251595621864E+00 a       274     0    12     1    10
 -3.4112051529006480E+00 a       275     0    12     1    11
  2.8139516816921297E+00 a       276     0    12     1    12
 -2.2673426919160331E+00 a       277     0    12     1    13
  3.1241493485080665E+00 a       278     0    12     1    14
 -6.2445759086569694E+00 a       279     0    12     1    15
 -3.2209811385171028E+00 a       280     0    12     1    16
  4.7144804554393680E+00 a       281     0    12     1    17
  1.9721328164974181E+00 a       282     0    12     1    18
 -1.2923534409483026E+00 a       283     0    12     1    19
  4.1400445761619853E-01 a       284     0    12     1    20
  4.6457686300786332E+00 a       285     0    12     1    21
  2.8689499244217722E+00 a       286     0    12     1    22
  3.9655754581257572E+00 a       287     0    12     1    23
 -2.6126056091132860E-01 a       288     0    12     1    24
  6.0553349137255594E+00 a       289     0    13     1     1
 -7.0992081063298551E+00 a       290     0    13     1     2
 -5.2995644088064502E+00 a       291     0    13     1     3
 -8.8134002763854653E+00 a       292     0    13     1     4
 -1.2924413581155505E+01 a       293     0    13     1     5
 -8.4822574539266782E+00 a       294     0    13     1     6
  1.8822007624745996E+00 a       295     0    13     1     7
 -7.0091643205933387E+00 a       296     0    13     1     8
 -3.2643113713892156E+00 a       297     0    13     1     9
 -6.7928778233828417E+00 a       298     0    13     1    10
 -6.8054156975959657E-01 a       299     0    13     1    11
  6.2218253939334174E+00 a       300     0    13     1    12
  1.2231659260524195E+01 a       301     0    13     1    13
  1.8441780670702668E+00 a       302     0    13     1    14
 -5.3924621382335571E+00 a       303     0    13     1    15
  3.0113063449267279E+00 a       304     0    13     1    16
 -7.6715661624380278E+00 a       305     0    13     1    17
 -6.3491001209740583E+00 a       306     0    13     1    18
  2.3365739727692190E+00 a       307     0    13     1    19
 -1.2356779381111771E+01 a       308     0    13     1    20
  6.9806156176805763E+00 a       309     0    13     1    21
 -3.5051298859583753E+00 a       310     0    13     1    22
 -1.6395646232717105E+00 a       311     0    13     1    23
 -8.2048478040104502E+00 a       312     0    13     1    24
 -1.9961551931700059E+00 a       313     0    14     1     1
  3.9601307452077741E+00 a       314     0    14     1     2
 -7.4040353628398368E+00 a       315     0    14     1     3
  6.7093477351279718E-01 a       316     0    14     1     4
 -5.3320203279767791E+00 a       317     0    14     1     5
  6.8229382761670943E+00 a       318     0    14     1     6
  5.8468984045308403E+00 a       319     0    14     1     7
  7.1557427046146236E+00 a       320     0    14     1     8
  2.9506870080729719E+00 a       321     0    14     1     9
 -2.1420521627073517E+00 a       322     0    14     1    10
  1.0831080380344181E+01 a       323     0    14     1    11
 -1.1993431375868109E+01 a       324     0    14     1    12
  8.6036741879002534E+00 a       325     0    14     1    13
 -1.4435454254650628E+01 a       326     0    14     1    14
 -1.0242373542996699E+00 a       327     0    14     1    15
  5.2437017251328282E+00 a       328     0    14     1    16
 -1.5408071333657600E-01 a       329     0    14     1    17
 -9.3374931675927506E+00 a       330     0    14     1    18
  1.7797461567372197E+00 a       331     0    14     1    19
  1.1715133447752590E+01 a       332     0    14     1    20
 -4.3851726268037652E+00 a       333     0    14     1    21
  2.7531851974073787E+00 a       334     0    14     1    22
 -1.3012067611623380E+01 a       335     0    14     1    23
 -7.1335134697820388E+00 a       336     0    14     1    24
  6.6222411659434588E+00 a       337     0    15     1     1
  4.7852335003259787E+00 a       338     0    15     1     2
 -4.7169520156953144E+00 a       339     0    15     1     3
  5.8367132286823455E+00 a       340     0    15     1     4
 -7.1598560811018688E+00 a       341     0    15     1     5
  2.5211261116674621E+00 a       342     0    15     1     6
 -8.7250151970753489E+00 a       343     0    15     1     7
 -1.2535556550472034E+01 a       344     0    15     1     8
 -4.7729908254417950E+00 a       345     0    15     1     9
  3.0583463068575978E+00 a       346     0    15     1    10
  4.2576311226348169E+00 a       347     0    15     1    11
  5.4351078677757885E+00 a       348     0    15     1    12
 -2.3408670013896189E+00 a       349     0    15     1    13
 -2.3579803778625106E+00 a       350     0    15     1    14
  1.9376123723569740E+00 a       351     0    15     1    15
 -3.8967575355045017E+00 a       352     0    15     1    16
 -6.2064242073861742E+00 a       353     0    15     1    17
 -7.7711592294312393E+00 a       354     0    15     1    18
  2.2127657857271603E+00 a       355     0    15     1    19
 -1.1745605303947219E+01 a       356     0    15     1    20
  3.4825291589566371E-01 a       357     0    15     1    21
  1.3249487690590136E+01 a       358     0    15     1    22
 -5.4183198960906331E+00 a       359     0    15     1    23
  3.4034137428379383E+00 a       360     0    15     1    24
 -5.5794661934697665E+00 a       361     0    16     1     1
 -4.1915928654986585E+00 a       362     0    16     1     2
  5.1102070094344141E+00 a       363     0    16     1     3
 -2.2356277588423099E+00 a       364     0    16     1     4
 -1.0835227681064612E+01 a       365     0    16     1     5
  6.8838440715634777E+00 a       366     0    16     1     6
  2.5465726668838444E+00 a       367     0    16     1     7
 -1.4956465896087721E+00 a       368     0    16     1     8
 -5.7103788578981929E+00 a       369     0    16     1     9
 -1.5259400697286353E+01 a       370     0    16     1    10
  1.4066482419238799E+01 a       371     0    16     1    11
 -8.8169048012285411E-01 a       372     0    16     1    12
  7.8051165917221699E+00 a       373     0    16     1    13
 -6.6361099705036573E+00 a       374     0    16     1    14
 -1.0699770142634060E+01 a       375     0    16     1    15
 -1.7131380603231289E+01 a       376     0    16     1    16
 -9.9290471080795903E+00 a       377     0    16     1    17
 -4.7517532013723569E+00 a       378     0    16     1    18
  9.5842344253783445E+00 a       379     0    16     1    19
  4.5296262169737771E+00 a       380     0    16     1    20
 -4.9140119173149763E+00 a       381     0    16     1    21
 -1.0055805581581014E+01 a       382     0    16     1    22
  1.1897601714179298E+00 a       383     0    16     1    23
  3.7219441605707770E-01 a       384     0    16     1    24
 -3.8440185918622474E+00 a       385     0    17     1     1
  3.2739295488572893E+00 a       386     0    17     1     2
 -1.5352783082782586E+00 a       387     0    17     1     3
  7.6267630767086541E+00 a       388     0    17     1     4
  9.2895135037348489E+00 a       389     0    17     1     5
  2.7615411060414692E+00 a       390     0    17     1     6
 -9.9451136919123808E+00 a       391     0    17     1     7
  9.4969692334897748E-01 a       392     0    17     1     8
 -9.1172405822051346E+00 a       393     0    17     1     9
  5.2807710752881520E-01 a       394     0    17     1    10
  2.7420958948594043E+00 a       395     0    17     1    11
 -2.4852297829552139E+00 a       396     0    17     1    12
  6.3077509289864295E+00 a       397     0    17     1    13
 -1.3311811120153408E+01 a       398     0    17     1    14
  1.2346980585263390E+00 a       399     0    17     1    15
 -2.9618452669440689E+00 a       400     0    17     1    16
 -1.9964543598195885E+00 a       401     0    17     1    17
 -1.8482757668685379E+00 a       402     0    17     1    18
 -3.8844779022350915E+00 a       403     0    17     1    19
  1.1789101500094306E+01 a       404     0    17     1    20
  1.2368426991019632E+01 a       405     0    17     1    21
  1.1780766853230511E+00 a       406     0    17     1    22
 -7.8622010414480492E+00 a       407     0    17     1    23
  4.0402971305015418E+00 a       408     0    17     1    24
 -2.7286980760227224E+00 a       409     0    18     1     1
 -2.8507822434325536E-01 a       410     0    18     1     2
  7.8295134672311750E+00 a       411     0    18     1     3
 -7.3997064035893008E+00 a       412     0    18     1     4
 -9.0060733580424990E-01 a       413     0    18     1     5
  7.4281033813542825E+00 a       414     0    18     1     6
 -6.6341096408835654E+00 a       415     0    18     1     7
 -6.2392226496069920E+00 a       416     0    18     1     8
 -3.1912440715681307E+00 a       417     0    18     1     9
 -1.2932583400819716E+01 a       418     0    18     1    10
  3.1772458434842603E+00 a       419     0    18     1    11
 -6.4162459101342106E+00 a       420     0    18     1    12
  6.0134242090678871E+00 a       421     0    18     1    13
 -1.5921960979516665E+01 a       422     0    18     1    14
 -8.0871239220070095E+00 a       423     0    18     1    15
 -1.3384987876526758E+01 a       424     0    18     1    16
  8.5084580692612044E-01 a       425     0    18     1    17
 -5.8241095837181485E+00 a       426     0    18     1    18
 -4.6398647098008547E+00 a       427     0    18     1    19
  6.3210947519290572E+00 a       428     0    18     1    20
  5.2078311064021854E+00 a       429     0    18     1    21
 -4.3811753463321033E+00 a       430     0    18     1    22
  2.8917671196967321E-01 a       431     0    18     1    23
 -1.3890646302246575E+01 a       432     0    18     1    24
 -4.6704374483145257E+00 a       433     0    19     1     1
  1.3725843620944390E+01 a       434     0    19     1     2
  7.0868976087372255E+00 a       435     0    19     1     3
 -8.0490529377330162E+00 a       436     0    19     1     4
 -5.4915768891141541E+00 a       437     0    19     1     5
  1.3568196465968263E+00 a       438     0    19     1     6
 -2.6400380766582549E-01 a       439     0    19     1     7
 -4.1606774041855399E+00 a       440     0    19     1     8
 -6.8923868117609937E+00 a       441     0    19     1     9
 -3.2033585157821678E+00 a       442     0    19     1    10
 -7.7785982831782610E+00 a       443     0    19     1    11
 -5.8002513712580877E+00 a       444     0    19     1    12
 -4.6938967724349725E+00 a       445     0    19     1    13
  8.0456431720603891E+00 a       446     0    19     1    14
  6.6322342463373518E+00 a       447     0    19     1    15
  8.9288669170655748E+00 a       448     0    19     1    16
 -4.1629944528134804E+00 a       449     0    19     1    17
  8.9007117163109442E+00 a       450     0    19     1    18
 -2.3458078766649463E-02 a       451     0    19     1    19
 -4.8152638666647176E+00 a       452     0    19     1    20
  2.6935901987817878E+00 a       453     0    19     1    21
 -3.7241396014829733E+00 a       454     0    19     1    22
  4.9977350902641762E+00 a       455     0    19     1    23
 -3.6851331208430000E+00 a       456     0    19     1    24
 -2.9721177514355990E+00 a       457     0    20     1     1
  2.8724035295947408E+00 a       458     0    20     1     2
 -8.4272528915281271E+00 a       459     0    20     1     3
  1.4600010358154993E+01 a       460     0    20     1     4
 -4.6210050550461226E+00 a       461     0    20     1     5
 -1.1991018335014376E+01 a       462     0    20     1     6
 -3.3192339979406191E+00 a       463     0    20     1     7
  8.4500531943986683E+00 a       464     0    20     1     8
  8.8311578642153226E+00 a       465     0    20     1     9
  5.5625309360076969E+00 a       466     0    20     1    10
  4.0898036044991288E+00 a       467     0    20     1    11
 -1.4263669155910887E+00 a       468     0    20     1    12
 -5.0957299628326314E-01 a       469     0    20     1    13
  9.7133844134854446E+00 a       470     0    20     1    14
  9.2599192332219040E+00 a       471     0    20     1    15
  7.8851640333758661E+00 a       472     0    20     1    16
 -3.8282433975349877E+00 a       473     0    20     1    17
 -8.9027495136591419E+00 a       474     0    20     1    18
  4.5084312642975251E+00 a       475     0    20     1    19
 -4.2575954739646438E+00 a       476     0    20     1    20
 -1.0534070341809114E+01 a       477     0    20     1    21
  4.9306641991780307E+00 a       478     0    20     1    22
  1.5035719886720049E+00 a       479     0    20     1    23
  7.6388486791755517E-01 a       480     0    20     1    24
 -1.2566880994038571E-01 a       481     0    21     1     1
 -1.8125862747706762E+01 a       482     0    21     1     2
 -6.4567477576371406E+00 a       483     0    21     1     3
  1.6885781253117782E+00 a       484     0    21     1     4
  9.9962154808405259E+00 a       485     0    21     1     5
 -1.2462941234774292E+00 a       486     0    21     1     6
  8.9456021016871752E+00 a       487     0    21     1     7
  1.3739571617179823E+01 a       488     0    21     1     8
  3.8024567975922507E+00 a       489     0    21     1     9
 -7.9322429405091004E+00 a       490     0    21     1    10
 -3.0110094271671719E+00 a       491     0    21     1    11
 -1.2616521704761205E+01 a       492     0    21     1    12
  4.5726048521578988E-01 a       493     0    21     1    13
  1.2806241041512965E+00 a       494     0    21     1    14
  2.8035938901402373E+00 a       495     0    21     1    15
 -3.6804490129362866E+00 a       496     0    21     1    16
 -8.8184565250052742E+00 a       497     0    21     1    17
  1.2331983928468386E+01 a       498     0    21     1    18
  6.8687428718451145E+00 a       499     0    21     1    19
 -3.1071634708235489E+00 a       500     0    21     1    20
 -5.6764418002880168E-01 a       501     0    21     1    21
  2.7820187516664807E-01 a       502     0    21     1    22
 -1.5856950047512937E+00 a       503     0    21     1    23
  6.0960881728631859E+00 a       504     0    21     1    24
 -1.7542287126674789E+00 a       505     0    22     1     1
  3.0714320568641114E+00 a       506     0    22     1     2
  3.4229811352408506E+00 a       507     0    22     1     3
  2.3030430181112025E+00 a       508     0    22     1     4
  1.4343710391733866E+01 a       509     0    22     1     5
  1.6095978539480775E+01 a       510     0    22     1     6
  3.9798601199894938E+00 a       511     0    22     1     7
 -6.8701218654618916E+00 a       512     0    22     1     8
  1.9492342342424940E+00 a       513     0    22     1     9
 -3.1344026249207273E+00 a       514     0    22     1    10
  3.4977968589679915E+00 a       515     0    22     1    11
 -1.2790235760605713E+01 a       516     0    22     1    12
 -5.3712028172102473E+00 a       517     0    22     1    13
  8.8787309669957093E-01 a       518     0    22     1    14
  2.8396303306732618E+00 a       519     0    22     1    15
 -5.5993687410424444E+00 a       520     0    22     1    16
  3.5776688113603741E+00 a       521     0    22     1    17
 -2.9625385607985457E+00 a       522     0    22     1    18
 -8.7010259804230046E+00 a       523     0    22     1    19
  2.8699736178104738E+00 a       524     0    22     1    20
  6.1017691925544488E+00 a       525     0    22     1    21
  1.4919388103446224E+01 a       526     0    22     1    22
  3.9943121545493104E-01 a       527     0    22     1    23
 -5.7002947492112286E+00 a       528     0    22     1    24
 -1.9100812639562397E+00 a       529     0    23     1     1
  3.0553923357166872E+00 a       530     0    23     1     2
