################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.6006885570397582E+00 a         1     0     1     1     1
  3.3668082264029433E+00 a         2     0     1     1     2
  4.2947618085793069E+00 a         3     0     1     1     3
  5.0526678790181689E+00 a         4     0     1     1     4
  3.2191460820104276E+00 a         5     0     1     1     5
  3.5976181923296617E+00 a         6     0     1     1     6
 -1.1795263514199155E+00 a         7     0     1     1     7
 -9.0239985524753008E-01 a         8     0     1     1     8
 -9.5009522383733618E+00 a         9     0     1     1     9
 -1.4834227559239275E+00 a        10     0     1     1    10
  1.7344454602048691E+00 a        11     0     1     1    11
  4.6252144678249718E-01 a        12     0     1     1    12
 -4.2348117211848795E+00 a        13     0     1     1    13
 -7.5291016948380340E+00 a        14     0     1     1    14
 -1.8346417185810524E+00 a        15     0     1     1    15
 -3.2590810911814412E+00 a        16     0     1     1    16
 -2.4561334693578196E+00 a        17     0     1     1    17
 -1.0627083943748582E+01 a        18     0     1     1    18
 -1.2528983577841643E+01 a        19     0     1     1    19
  3.2643126008740713E+00 a        20     0     1     1    20
  7.3969478985604802E+00 a        21     0     1     1    21
 -2.9174139693073191E+00 a        22     0     1     1    22
 -1.0428867503312803E+01 a        23     0     1     1    23
  4.3166871536879654E+00 a        24     0     1     1    24
  2.5139848059552290E+00 a        25     0     2     1     1
 -1.4349851949338395E+00 a        26     0     2     1     2
  4.2085887768543602E+00 a        27     0     2     1     3
  9.3319834682623237E-01 a        28     0     2     1     4
  7.5931043028623524E+00 a        29     0     2     1     5
  1.0102005966396959E+01 a        30     0     2     1     6
 -2.5263836878958048E+00 a        31     0     2     1     7
  7.8725675866888221E+00 a        32     0     2     1     8
 -4.3438807805939774E+00 a        33     0     2     1     9
 -6.0833554571796966E-01 a        34     0     2     1    10
 -6.0281851047582533E+00 a        35     0     2     1    11
 -1.0108610298640825E+00 a        36     0     2     1    12
 -6.4092513490762681E-01 a        37     0     2     1    13
 -8.7103301294647011E+00 a        38     0     2     1    14
 -5.4524035084345019E+00 a        39     0     2     1    15
 -1.3140785379279754E+00 a        40     0     2     1    16
 -3.9469264754043478E+00 a        41     0     2     1    17
  4.8302756166781027E+00 a        42     0     2     1    18
  3.8949913580705928E+00 a        43     0     2     1    19
 -1.4101466370653602E+01 a        44     0     2     1    20
  9.0159295511834792E+00 a        45     0     2     1    21
 -2.1865021401143667E+00 a        46     0     2     1    22
  7.9993478040571846E+00 a        47     0     2     1    23
 -3.9905216308284421E+00 a        48     0     2     1    24
 -1.7232725422548363E+00 a        49     0     3     1     1
  1.5933699441192526E+00 a        50     0     3     1     2
 -5.6763036127970494E+00 a        51     0     3     1     3
 -3.5288609415258767E+00 a        52     0     3     1     4
 -1.3288009030922239E+00 a        53     0     3     1     5
 -1.8917795521626379E+00 a        54     0     3     1     6
 -5.2220888000789123E-01 a        55     0     3     1     7
  3.4787218966121953E+00 a        56     0     3     1     8
  1.0500433720786922E-01 a        57     0     3     1     9
 -2.5487600774649710E+00 a        58     0     3     1    10
 -3.5534427830339674E+00 a        59     0     3     1    11
  6.1182191721972226E+00 a        60     0     3     1    12
  1.6000701715787389E+00 a        61     0     3     1    13
  2.1515709495599387E+00 a        62     0     3     1    14
 -1.3507287188972912E+00 a        63     0     3     1    15
 -2.2979378046260424E-01 a        64     0     3     1    16
  5.7451409242344624E+00 a        65     0     3     1    17
  3.9740962165305080E+00 a        66     0     3     1    18
 -2.5410720888268696E+00 a        67     0     3     1    19
  1.2363449738277856E+00 a        68     0     3     1    20
 -7.4258251560016006E+00 a        69     0     3     1    21
  6.5775972167197383E-01 a        70     0     3     1    22
 -6.5293018774524259E-01 a        71     0     3     1    23
  3.5954783902444150E+00 a        72     0     3     1    24
 -2.5806271047410649E+00 a        73     0     4     1     1
 -2.2699880587994334E+00 a        74     0     4     1     2
 -1.2696102372555667E+00 a        75     0     4     1     3
 -3.8794742029048856E-01 a        76     0     4     1     4
 -7.2233194206998288E+00 a        77     0     4     1     5
  1.2539467500021659E+00 a        78     0     4     1     6
 -8.8873394800437167E-01 a        79     0     4     1     7
 -4.0891061766832673E+00 a        80     0     4     1     8
  3.5716315812014146E+00 a        81     0     4     1     9
 -7.8735547124145178E-01 a        82     0     4     1    10
  2.9455144049776250E+00 a        83     0     4     1    11
  4.8020693752232111E+00 a        84     0     4     1    12
  2.5653904401876528E+00 a        85     0     4     1    13
  4.7624438187983023E+00 a        86     0     4     1    14
 -4.7540447177061240E-01 a        87     0     4     1    15
  5.9402061918777518E+00 a        88     0     4     1    16
 -3.0798106997659040E+00 a        89     0     4     1    17
 -5.3386290199110595E+00 a        90     0     4     1    18
  2.1599151486905237E+00 a        91     0     4     1    19
  6.3958741303064128E+00 a        92     0     4     1    20
 -4.0473045671741241E+00 a        93     0     4     1    21
  2.3010234611836431E+00 a        94     0     4     1    22
 -2.4298971222642654E+00 a        95     0     4     1    23
  5.0669025898316855E+00 a        96     0     4     1    24
 -4.5567669761360845E+00 a        97     0     5     1     1
 -2.3437699528275799E+00 a        98     0     5     1     2
 -8.9565854757650829E+00 a        99     0     5     1     3
 -6.8534779250316413E+00 a       100     0     5     1     4
 -6.9094903577453941E+00 a       101     0     5     1     5
  8.7016021497477114E-01 a       102     0     5     1     6
 -1.4314518788923594E+00 a       103     0     5     1     7
  2.4157653930340768E+00 a       104     0     5     1     8
  4.0953784959643409E+00 a       105     0     5     1     9
  3.4992508684404339E-01 a       106     0     5     1    10
 -8.8233739005811636E+00 a       107     0     5     1    11
  4.7005376122941751E+00 a       108     0     5     1    12
  4.1947747612195325E+00 a       109     0     5     1    13
  4.6030974081274758E+00 a       110     0     5     1    14
  3.1012910738100690E+00 a       111     0     5     1    15
  4.1254236463381284E+00 a       112     0     5     1    16
  9.3226315598297553E+00 a       113     0     5     1    17
  6.3607041184498838E+00 a       114     0     5     1    18
  5.8765136744395212E+00 a       115     0     5     1    19
 -1.3687428360567124E+00 a       116     0     5     1    20
 -9.4824399899406870E+00 a       117     0     5     1    21
  8.6263215258864623E+00 a       118     0     5     1    22
  5.9973543657378929E+00 a       119     0     5     1    23
 -1.2549553721849800E+00 a       120     0     5     1    24
 -2.0628969658707779E+00 a       121     0     6     1     1
  3.1241447885582235E-01 a       122     0     6     1     2
 -3.9230270648565306E+00 a       123     0     6     1     3
  2.0081806267487912E-01 a       124     0     6     1     4
 -4.8475834502606467E+00 a       125     0     6     1     5
 -6.8641754184331463E+00 a       126     0     6     1     6
  2.4130490643043760E+00 a       127     0     6     1     7
 -9.4511681586683363E+00 a       128     0     6     1     8
  6.5416271950634775E+00 a       129     0     6     1     9
 -1.2301514255152510E+00 a       130     0     6     1    10
  4.9759899927445037E+00 a       131     0     6     1    11
  4.5339673217655712E+00 a       132     0     6     1    12
 -5.2525456235974231E+00 a       133     0     6     1    13
  9.5265306932927381E+00 a       134     0     6     1    14
  1.3007950094403706E+00 a       135     0     6     1    15
 -1.9010766270229951E+00 a       136     0     6     1    16
  1.4469587204411281E+00 a       137     0     6     1    17
 -1.8258025816640515E+00 a       138     0     6     1    18
  2.7317199493303166E+00 a       139     0     6     1    19
  1.4497063584079065E+01 a       140     0     6     1    20
 -7.2215495829431786E+00 a       141     0     6     1    21
  5.1164652196971598E+00 a       142     0     6     1    22
 -5.2789434364996675E+00 a       143     0     6     1    23
  5.2305918048771520E+00 a       144     0     6     1    24
 -5.2997637280576768E+00 a       145     0     7     1     1
 -4.6701564046847306E+00 a       146     0     7     1     2
  2.9187345656480730E+00 a       147     0     7     1     3
  1.8360641817727761E+00 a       148     0     7     1     4
 -5.2693465575714535E+00 a       149     0     7     1     5
  1.3977755155900525E+01 a       150     0     7     1     6
 -4.9532739334546099E+00 a       151     0     7     1     7
 -9.2738045173604755E-01 a       152     0     7     1     8
 -3.0256733507611298E+00 a       153     0     7     1     9
  1.5240798682768284E+00 a       154     0     7     1    10
 -2.6406356125671260E-01 a       155     0     7     1    11
 -6.8209252703124035E+00 a       156     0     7     1    12
 -1.2032090928335786E+00 a       157     0     7     1    13
 -5.8675043672085749E+00 a       158     0     7     1    14
  1.3871141788954884E+00 a       159     0     7     1    15
 -1.2939747301177773E-02 a       160     0     7     1    16
 -9.5135038245995744E+00 a       161     0     7     1    17
 -8.6766746145242344E+00 a       162     0     7     1    18
  9.5953417290864422E+00 a       163     0     7     1    19
  5.0932890795239629E+00 a       164     0     7     1    20
  7.9001320319673507E+00 a       165     0     7     1    21
  1.1911588873052967E+01 a       166     0     7     1    22
  6.8165297969641401E+00 a       167     0     7     1    23
 -9.7194833121560489E+00 a       168     0     7     1    24
  8.1284639520774036E+00 a       169     0     8     1     1
  2.2893424525771437E+00 a       170     0     8     1     2
  1.4268193612052584E+00 a       171     0     8     1     3
  3.3630348323486814E+00 a       172     0     8     1     4
  1.1370142742238253E+01 a       173     0     8     1     5
 -5.5063340859811465E+00 a       174     0     8     1     6
  2.5809268787215678E+00 a       175     0     8     1     7
  5.4809941838913749E+00 a       176     0     8     1     8
 -4.5779584892648915E+00 a       177     0     8     1     9
  4.3934177714152078E-01 a       178     0     8     1    10
 -8.8774901403009423E+00 a       179     0     8     1    11
 -7.2528023039356508E+00 a       180     0     8     1    12
  4.2716652288018286E+00 a       181     0     8     1    13
 -1.7671651150006495E+00 a       182     0     8     1    14
  3.6450724148557905E+00 a       183     0     8     1    15
 -8.2024207939112692E+00 a       184     0     8     1    16
  1.2979741239100848E+01 a       185     0     8     1    17
  7.1587430054427914E+00 a       186     0     8     1    18
 -1.0023920052664684E+01 a       187     0     8     1    19
 -1.3064012560072845E+01 a       188     0     8     1    20
  1.1666128269709819E+01 a       189     0     8     1    21
 -7.9502291339909315E-01 a       190     0     8     1    22
 -1.1902002198745179E+00 a       191     0     8     1    23
 -9.4064156453053656E+00 a       192     0     8     1    24
  4.5146578310293295E+00 a       193     0     9     1     1
  3.0163088960442423E+00 a       194     0     9     1     2
 -1.4680999519366438E+00 a       195     0     9     1     3
 -1.9492521002612939E+00 a       196     0     9     1     4
  5.8478867903382676E+00 a       197     0     9     1     5
 -1.4679744367912896E+01 a       198     0     9     1     6
  4.1416376032377018E+00 a       199     0     9     1     7
  2.6583650041217743E+00 a       200     0     9     1     8
  4.0913370876787871E+00 a       201     0     9     1     9
  3.9020583829270752E+00 a       202     0     9     1    10
  1.1587285935384211E+00 a       203     0     9     1    11
  8.3595883033539238E+00 a       204     0     9     1    12
  2.0575688772306919E+00 a       205     0     9     1    13
  8.0977909812883873E+00 a       206     0     9     1    14
 -1.2549620631583977E+01 a       207     0     9     1    15
 -2.3819340131574331E+00 a       208     0     9     1    16
  3.8176887758946076E+00 a       209     0     9     1    17
 -1.3960229036229419E+00 a       210     0     9     1    18
 -8.0771506530735664E+00 a       211     0     9     1    19
 -8.7127454329432794E+00 a       212     0     9     1    20
 -9.4991466038768131E+00 a       213     0     9     1    21
 -1.1933223717813309E+01 a       214     0     9     1    22
 -7.7517110189573177E+00 a       215     0     9     1    23
  1.2551436491170860E+00 a       216     0     9     1    24
 -6.4748205299241990E+00 a       217     0    10     1     1
 -1.9727277378877714E-01 a       218     0    10     1     2
  3.8204598683959898E+00 a       219     0    10     1     3
 -2.9029844866563188E+00 a       220     0    10     1     4
 -9.6043651590201904E+00 a       221     0    10     1     5
  2.6301232144987705E+00 a       222     0    10     1     6
